OperatingPoint,measurementType,sysType,jetFlavor,cvlMin,cvlMax,cvbMin,cvbMax,formula
shape,iterativefit,central,0,0.1,0.12,0.0,0.02,2.3800001144
shape,iterativefit,central,0,0.1,0.12,0.02,0.04,2.3800001144
shape,iterativefit,central,0,0.1,0.12,0.04,0.06,1.9444226027
shape,iterativefit,central,0,0.1,0.12,0.06,0.08,1.8071990013
shape,iterativefit,central,0,0.1,0.12,0.08,0.1,1.7301534414
shape,iterativefit,central,0,0.1,0.12,0.1,0.12,1.6910611391
shape,iterativefit,central,0,0.1,0.12,0.12,0.14,1.662733078
shape,iterativefit,central,0,0.1,0.12,0.14,0.16,1.6380120516
shape,iterativefit,central,0,0.1,0.12,0.16,0.18,1.6280039549
shape,iterativefit,central,0,0.1,0.12,0.18,0.2,1.6259851456
shape,iterativefit,central,0,0.1,0.12,0.2,0.22,1.6168144941
shape,iterativefit,central,0,0.1,0.12,0.22,0.24,1.6058484316
shape,iterativefit,central,0,0.1,0.12,0.24,0.26,1.5655704737
shape,iterativefit,central,0,0.1,0.12,0.26,0.28,1.5065305233
shape,iterativefit,central,0,0.1,0.12,0.28,0.3,1.4322202206
shape,iterativefit,central,0,0.1,0.12,0.3,0.32,1.3708221912
shape,iterativefit,central,0,0.1,0.12,0.32,0.34,1.3022407293
shape,iterativefit,central,0,0.1,0.12,0.34,0.36,1.2195856571
shape,iterativefit,central,0,0.1,0.12,0.36,0.38,1.1469215155
shape,iterativefit,central,0,0.1,0.12,0.38,0.4,1.1097279787
shape,iterativefit,central,0,0.1,0.12,0.4,0.42,1.1065487862
shape,iterativefit,central,0,0.1,0.12,0.42,0.44,1.0949887037
shape,iterativefit,central,0,0.1,0.12,0.44,0.46,1.0661349297
shape,iterativefit,central,0,0.1,0.12,0.46,0.48,1.0143574476
shape,iterativefit,central,0,0.1,0.12,0.48,0.5,0.9546793103
shape,iterativefit,central,0,0.1,0.12,0.5,0.52,0.8988438845
shape,iterativefit,central,0,0.1,0.12,0.52,0.54,0.8705303073
shape,iterativefit,central,0,0.1,0.12,0.54,0.56,0.8969039321
shape,iterativefit,central,0,0.1,0.12,0.56,0.58,0.662252605
shape,iterativefit,central,0,0.1,0.12,0.58,0.6,0.7010555267
shape,iterativefit,central,0,0.1,0.12,0.6,0.62,0.8566835523
shape,iterativefit,central,0,0.1,0.12,0.62,0.64,0.92670995
shape,iterativefit,central,0,0.1,0.12,0.64,0.66,1.0020824671
shape,iterativefit,central,0,0.1,0.12,0.66,0.68,1.0312280655
shape,iterativefit,central,0,0.1,0.12,0.68,0.7,1.045746088
shape,iterativefit,central,0,0.1,0.12,0.7,0.72,1.0592303276
shape,iterativefit,central,0,0.1,0.12,0.72,0.74,1.092627883
shape,iterativefit,central,0,0.1,0.12,0.74,0.76,1.1023499966
shape,iterativefit,central,0,0.1,0.12,0.76,0.78,1.0778992176
shape,iterativefit,central,0,0.1,0.12,0.78,0.8,1.1021721363
shape,iterativefit,central,0,0.1,0.12,0.8,0.82,1.139503479
shape,iterativefit,central,0,0.1,0.12,0.82,0.84,1.1958402395
shape,iterativefit,central,0,0.1,0.12,0.84,0.86,1.2103823423
shape,iterativefit,central,0,0.1,0.12,0.86,0.88,1.2224626541
shape,iterativefit,central,0,0.1,0.12,0.88,0.9,1.2192025185
shape,iterativefit,central,0,0.1,0.12,0.9,0.92,1.2099425793
shape,iterativefit,central,0,0.1,0.12,0.92,0.94,1.2001727819
shape,iterativefit,central,0,0.1,0.12,0.94,0.96,1.1691638231
shape,iterativefit,central,0,0.1,0.12,0.96,0.98,1.1343433857
shape,iterativefit,central,0,0.1,0.12,0.98,1.0,1.1402894258
shape,iterativefit,central,0,0.12,0.14,0.0,0.02,1.4894740582
shape,iterativefit,central,0,0.12,0.14,0.02,0.04,1.4894740582
shape,iterativefit,central,0,0.12,0.14,0.04,0.06,1.7023556232
shape,iterativefit,central,0,0.12,0.14,0.06,0.08,1.6119536161
shape,iterativefit,central,0,0.12,0.14,0.08,0.1,1.5747179985
shape,iterativefit,central,0,0.12,0.14,0.1,0.12,1.5457125902
shape,iterativefit,central,0,0.12,0.14,0.12,0.14,1.5239028931
shape,iterativefit,central,0,0.12,0.14,0.14,0.16,1.5088407993
shape,iterativefit,central,0,0.12,0.14,0.16,0.18,1.5047996044
shape,iterativefit,central,0,0.12,0.14,0.18,0.2,1.5179582834
shape,iterativefit,central,0,0.12,0.14,0.2,0.22,1.5221498013
shape,iterativefit,central,0,0.12,0.14,0.22,0.24,1.5033810139
shape,iterativefit,central,0,0.12,0.14,0.24,0.26,1.4776210785
shape,iterativefit,central,0,0.12,0.14,0.26,0.28,1.4246995449
shape,iterativefit,central,0,0.12,0.14,0.28,0.3,1.3475716114
shape,iterativefit,central,0,0.12,0.14,0.3,0.32,1.2725744247
shape,iterativefit,central,0,0.12,0.14,0.32,0.34,1.2136604786
shape,iterativefit,central,0,0.12,0.14,0.34,0.36,1.1575267315
shape,iterativefit,central,0,0.12,0.14,0.36,0.38,1.0947768688
shape,iterativefit,central,0,0.12,0.14,0.38,0.4,1.0308829546
shape,iterativefit,central,0,0.12,0.14,0.4,0.42,1.014790535
shape,iterativefit,central,0,0.12,0.14,0.42,0.44,0.9907349348
shape,iterativefit,central,0,0.12,0.14,0.44,0.46,0.9568672776
shape,iterativefit,central,0,0.12,0.14,0.46,0.48,0.86605829
